site,lateral_connectivity
BM03,No
BK02,No
SZ03,No
LAB01,No
LW02,No
SB02_ZH,No
MAED01,No
NAB01,No
MUH01,No
CB01,No
MS03,No
AEG01_1,Yes_not_connected
AEG01_2,Yes_not_connected
SU01,No
SU03,No
RIB01,No
GL04_1,No
GL04_2,No
GS09,Yes_connected
KP01,Yes_not_connected
TG02,No
SBAB02,No
SBAB03,No
AEB01,No
SB02_TG,No
ZH01,No
LA04,No
TOBB02,No
TH18_1,No
TH18_2,No
TH19,No
BR01,No
GF04,No
TH06,No
GW05,No
TBG01,Yes_connected
FOB01_2,No
FOB01_3,No
GW02,No
BBS02,No
ZW01,No
ZW02,No
LOCH01,No
SE03,No
BBN01,No
EG01,Yes_connected
AA07,Yes_not_connected
AA06,Yes_not_connected
2655600_1244700,No
HEUD02,No
AA02_3,No
AA02_1,Yes_connected
AA03_1,Yes_connected
AA03_2,Yes_not_connected
WY02,Yes_connected
AGWI01,No
PF02,No
CA01,No
HOB01,No
ABB02,Yes_connected
NB01,No
SU05,No
CZ01_1,No
CZ01_2,No
SG01,No
RBK01,No
RBK08,Yes_connected
RBK07,No
SIM03,No
WBK01,No
MUE05_17,No
MUE05_14,No
MUE05_1,No
MUE03,No
MUE02,No
MUE01_6,No
MUE01_3,No
VWK02,No
VWK03,No
HR05,No
RH05,No
RH09,No
RH11,No
VWK04,No
SAR03,No
TB03,No
AP03,No
TB01,No
DB04,No
BIB02,No
NB04,No
SCHWB02,Yes_connected
LAN02,No
DBW01,No
AL01,No
TG02_17,No
TG02_17,No
FIB02,Yes_connected
CX01,Yes_connected
EC01,No
CRA02,No
BI01,No
CRB01,No
AR03,No
TG02,No
CH03,No
AEG01_1,Yes_connected
AEG01_2,No
CH04,No
GC01,No
ROG02,No
ATB10_2,No
ATB10_3,No
BF01,No
HMK01,No
GB13,No
GB08,Yes_not_connected
LU01,No
LU02,No
CDS02,Yes_not_connected
PR01,Yes_not_connected
WOB01,No
UKT03,No
LY01,No
AM01,No
MKEM01,No
CR02,No
FFG01,No
AB01,No
BY01,No
SE17,Yes_not_connected
CH02,No
PGL03,No
RU01,No
RU02,No
SA01,Yes_connected
TA03,No
PL01,No
WUE01,No
AG01,No
BI02,No
TT01,No
MUE01,No
MUE03,No
MD01,No
SE06,No
CX03_2,No
CX03_3,No
GR01,Yes_connected
MO03,No
NI01,No
RDC01,Yes_not_connected
RM02_1,No
RM02_2,No
SF01,No
SG02,No
SG03_1,No
SG03_2,No
TT001,No
VE07,No
RÜB01,No
RÜB02,No
SA04,No
RIEGR02,No
CHRB01,No
