"","site","beaver_territory","A_floodplain_km2","A_beaver_km2","date","time","season","DOC_input","DOC_out","delta_DOC","D_beaver_km2","D_catchment_km2"
"1","2655600_1244700",49,0.492648954808955,0.01281765,"2022-07-13","11:30:00","summer",0.9733,1.226,0.2527,19.715002360027,-1.12595387564581
"2","2655600_1244700",49,0.492648954808955,0.01281765,"2022-05-02","20:00:00","winter",1.528,2.001,0.473,36.9022402702523,-1.12595387564581
"3","AA02_1",52,1.40143770781341,0.01294339,"2022-07-14","10:15:00","summer",2.871,2.916,0.0449999999999999,3.4766780572941,-0.160549412039909
"4","AA02_1",52,1.40143770781341,0.01294339,"2022-03-19","13:05:00","winter",3.096,3.291,0.195,15.0656049149411,-0.160549412039909
"5","AA02_3",51,0.42117552726118,0.01915623,"2022-07-13","14:15:00","summer",0.8395,0.715,-0.1245,-6.49919112476724,-0.312933661784836
"6","AA02_3",51,0.42117552726118,0.01915623,"2022-03-19","12:30:00","winter",0.9713,0.7098,-0.2615,-13.6509114789288,-0.312933661784836
"7","AA03_1",53,0.546749092097669,0.0333292,"2022-07-14","11:00:00","summer",1.009,1.153,0.144,4.32053574643256,-0.182899252043269
"8","AA03_1",53,0.546749092097669,0.0333292,"2022-03-19","12:00:00","winter",1.109,0.9074,-0.2016,-6.04875004500558,-0.182899252043269
"9","AA03_2",54,0.0134349291408724,7.005e-05,"2022-07-14","12:00:00","summer",1.068,1.121,0.0529999999999999,756.602426837972,-20.3945995640888
"10","AA03_2",54,0.0134349291408724,7.005e-05,"2022-03-19","10:50:00","winter",1.342,1.274,-0.0680000000000001,-970.735189150608,-20.3945995640888
"11","AA06",48,1.75651644218288,0.02735209,"2022-07-13","09:45:00","summer",1.004,0.6949,-0.3091,-11.3007817684133,0.0586387906918756
"12","AA06",48,1.75651644218288,0.02735209,"2022-01-23","16:50:00","winter",0.901,0.8452,-0.0558000000000002,-2.04006348326582,0.0586387906918756
"13","AA07",47,0.107646208773846,0.02867019,"2022-07-13","09:30:00","summer",0.6724,0.7975,0.1251,4.36341719395651,-3.87008520546446
"14","AA07",47,0.107646208773846,0.02867019,"2022-03-26","07:30:00","winter",1.089,1.078,-0.0109999999999999,-0.38367377404893,-3.87008520546446
"15","AB01",129,0.6700765289755,0.00145196,"2022-07-01","17:00:00","summer",2.31847470092583,2.35918067092652,0.0407059700006887,28.0351869202242,0.543929961974771
"16","AB01",129,0.6700765289755,0.00145196,"2022-03-22","15:30:00","winter",1.954,2.103,0.149,102.619906884487,0.543929961974771
"17","ABB02",60,7.56438887325306,0.0285377,"2022-07-15","13:15:00","summer",2.107,3.148,1.041,36.4780623526073,-0.160885435742627
