"beaver_territory","x_upstream","x_downstream","y_upstream","y_downstream","date","time","site","season","DOC_input","DOC_out","delta_DOC","dam_persistence","n_dams","slope","water_volume","solar","dam_height","discharge","catchment_area_km","area_m6_revier","area_m2_revier","Cover_litter","plankton_abun","macrophy_abun","plankton_abun_z","cover_litter_z","macrophy_abun_z","water_res_time","DOC_input_z","dam_height_z","slope_z","discharge_z","water_volume_z","water_res_time_z","solar_z","dam_persistence_z","n_dams_z"
49,8.176,8.177,47.352,47.356,2022-07-13,11:30:00,"2655600_1244700","summer",0.9733,1.226,0.2527,8,2,0.290023534226948,405.3,6198.82615304161,1.1,14.4394169322917,4.22903601,12817.65,NA,NA,NA,NA,NA,NA,NA,28.0690004243596,-0.90576167390161,0.298531189489287,-0.631527108209696,-0.434163118244736,-0.292790851901606,-0.187690626666894,0.502269371145312,0.441461513867216,-0.267283929688721
49,8.174,8.175,47.351,47.355,2022-05-02,20:00:00,"2655600_1244700","winter",1.528,2.001,0.473,8,2,0.290023534226948,405.3,5139.58326968899,1.1,31.0814567864583,4.22903601,12817.65,NA,NA,NA,NA,NA,NA,NA,13.0399293310017,-0.634224426835896,0.298531189489287,-0.631527108209696,-0.205733156481455,-0.292790851901606,-0.213515401226923,-0.0292504111384657,0.441461513867216,-0.267283929688721
52,8.059,8.063,47.399,47.404,2022-07-14,10:15:00,"AA02_1","summer",2.871,2.916,0.0449999999999999,17,3,0.294278081510937,1569.19999999999,6309.81839487952,0.4,12.8805163375,1.39458222,12943.39,NA,NA,NA,NA,NA,NA,NA,121.827414280859,0.0232021511508608,-1.04789621751402,-0.628627250676186,-0.455560711711733,1.55909136245367,-0.0265835372194237,0.557964408746273,2.48738130359608,0.113648285064496
52,8.06,8.063,47.399,47.404,2022-03-19,13:05:00,"AA02_1","winter",3.096,3.291,0.195,17,3,0.294278081510937,1569.19999999999,3273.04548435226,0.4,13.5261562541667,1.39458222,12943.39,NA,NA,NA,NA,NA,NA,NA,116.0122632412,0.133344355206721,-1.04789621751402,-0.628627250676186,-0.446698606899498,1.55909136245367,-0.0365758357253563,-0.965864452052777,2.48738130359608,0.113648285064496
51,8.073,8.079,47.403,47.402,2022-07-13,14:15:00,"AA02_3","summer",0.8395,0.715,-0.1245,3,3,0.123510740237965,418.9,6635.11343260558,0.4,1.00204885925926,0.41623568,19156.23,NA,NA,NA,NA,NA,NA,NA,418.043487729393,-0.971259571246828,-1.04789621751402,-0.745020588912536,-0.618605500429839,-0.271151881100651,0.482410882352265,0.721194910784576,-0.695160591537707,0.113648285064496
51,8.074,8.077,47.403,47.403,2022-03-19,12:30:00,"AA02_3","winter",0.9713,0.7098,-0.2615,3,3,0.123510740237965,418.9,2746.22271032249,0.4,3.77695339259259,0.41623568,19156.23,NA,NA,NA,NA,NA,NA,NA,110.909496744533,-0.906740715715439,-1.04789621751402,-0.745020588912536,-0.580516940253282,-0.271151881100651,-0.0453440286223309,-1.23021999369036,-0.695160591537707,0.113648285064496
53,8.072,8.085,47.408,47.41,2022-07-14,11:00:00,"AA03_1","summer",1.009,1.153,0.144,3,1,0.17514659494309,220.3,6586.64240586169,0.8,0.883205983333333,0.54119856,33329.2,NA,NA,NA,NA,NA,NA,NA,249.432187006432,-0.888285777524746,-0.278509127797843,-0.709826098812643,-0.620236747190542,-0.587144498826367,0.192682475160945,0.696872529216678,-0.695160591537707,-0.648216144441937
53,8.073,8.085,47.409,47.41,2022-03-19,12:00:00,"AA03_1","winter",1.109,0.9074,-0.2016,3,1,0.17514659494309,220.3,3490.75619755932,0.8,4.11536405,0.54119856,33329.2,NA,NA,NA,NA,NA,NA,NA,53.5311086269512,-0.839333686833253,-0.278509127797843,-0.709826098812643,-0.575871888672511,-0.587144498826367,-0.143938541120795,-0.856618921397519,-0.695160591537707,-0.648216144441937
54,8.097,8.098,47.41,47.41,2022-07-14,12:00:00,"AA03_2","summer",1.068,1.121,0.0529999999999999,3,1,0.951034482758634,15.1999999999999,5948.72931246437,0.3,NA,0.17091326,70.05,NA,NA,NA,NA,NA,NA,NA,NA,-0.859404044016765,-1.24024298994306,-0.180988554778719,NA,-0.913479271714305,NA,0.376772735441957,-0.695160591537707,-0.648216144441937
54,8.096,8.097,47.41,47.41,2022-03-19,10:50:00,"AA03_2","winter",1.342,1.274,-0.0680000000000001,3,1,0.951034482758634,15.1999999999999,2763.81884303518,0.3,NA,0.17091326,70.05,NA,NA,NA,NA,NA,NA,NA,NA,-0.725275315522073,-1.24024298994306,-0.180988554778719,NA,-0.913479271714305,NA,-1.22139039211788,-0.695160591537707,-0.648216144441937
48,8.161,8.16,47.428,47.434,2022-07-13,09:45:00,"AA06","summer",1.004,0.6949,-0.3091,3,4,0.184799580822643,412.6,6003.93449895366,0.6,2.20387011689815,1.7469209,27352.09,NA,NA,NA,NA,NA,NA,NA,187.216114432695,-0.890733382059321,-0.66320267265593,-0.703246718691747,-0.602109206325603,-0.281175816104035,0.0857752659098513,0.404474265624392,-0.695160591537707,0.494580499817712
48,8.161,8.161,47.428,47.433,2022-01-23,16:50:00,"AA06","winter",0.901,0.8452,-0.0558000000000002,3,4,0.184799580822643,412.6,1153.46337044151,0.6,15.2249008993056,1.7469209,27352.09,NA,NA,NA,NA,NA,NA,NA,27.100340601811,-0.941154035471559,-0.66320267265593,-0.703246718691747,-0.423381502882499,-0.281175816104035,-0.189355095574339,-2.02945415506085,-0.695160591537707,0.494580499817712
47,8.165,8.165,47.448,47.453,2022-07-13,09:30:00,"AA07","summer",0.6724,0.7975,0.1251,3,5,0.274387122104438,370.8,6128.11342890018,0.4,4.89171450625,1.42304422,28670.19,NA,NA,NA,NA,NA,NA,NA,75.8016436826474,-1.05305851479231,-1.04789621751402,-0.642184732737966,-0.565215640604958,-0.347683829301089,-0.105670604029277,0.466786280032739,-0.695160591537707,0.875512714570929
47,8.166,8.165,47.445,47.453,2022-03-26,07:30:00,"AA07","winter",1.089,1.078,-0.0109999999999999,3,5,0.274387122104438,370.8,3916.97363750074,0.4,9.33872769375,1.42304422,28670.19,NA,NA,NA,NA,NA,NA,NA,39.7056228813867,-0.849124104971552,-1.04789621751402,-0.642184732737966,-0.50417558414054,-0.347683829301089,-0.167695169214723,-0.642746348408235,-0.695160591537707,0.875512714570929
129,7.328,7.328,47.037,47.037,2022-07-01,17:00:00,"AB01","summer",2.31847470092583,2.35918067092652,0.0407059700006887,3,1,2.21388281819122,176.9,6982.57735129382,NA,12.818310544213,2.78967766,1451.96,NA,NA,NA,NA,NA,NA,NA,13.8005706282303,-0.247270534345373,NA,0.679756435167902,-0.456414553374566,-0.656198273294122,-0.212208375004214,0.89554958365063,-0.695160591537707,-0.648216144441937
129,7.328,7.329,47.037,47.038,2022-03-22,15:30:00,"AB01","winter",1.954,2.103,0.149,3,1,2.21388281819122,176.9,3950.36616014107,NA,25.2491658578704,2.78967766,1451.96,NA,NA,NA,NA,NA,NA,NA,7.00617204527803,-0.425688520490134,NA,0.679756435167902,-0.285787645323225,-0.656198273294122,-0.223883335524779,-0.625990242096227,-0.695160591537707,-0.648216144441937
60,8.65,8.649,47.643,47.632,2022-07-15,13:15:00,"ABB02","summer",2.107,3.148,1.041,3,5,0.282889333333333,1741.2,7302.81783213554,1,11.9600160716435,7.54266707,28537.7,NA,NA,NA,NA,NA,NA,NA,145.585088646183,-0.350791821732149,0.106184417060244,-0.636389709287084,-0.468195571523106,1.83276069905401,0.0142397831803464,1.05624374863449,-0.695160591537707,0.875512714570929
60,8.647,8.649,47.641,47.632,2022-04-20,13:05:00,"ABB02","winter",3.324,3.507,0.183,3,5,0.282889333333333,1741.2,5786.49086772009,1,27.935803962963,7.54266707,28537.7,NA,NA,NA,NA,NA,NA,NA,62.3286160766473,0.244955121983326,0.106184417060244,-0.636389709287084,-0.248910637156199,1.83276069905401,-0.128821595757553,0.295362754611496,-0.695160591537707,0.875512714570929
24,8.814,8.811,47.57,47.571,2022-07-06,17:30:00,"AEB01","summer",2.562,2.738,0.176,7,1,0.281792058516198,22.1999999999999,8178.12685464737,0.3,5.01507324074074,2.16651164,1890.24,NA,NA,NA,NA,NA,NA,NA,4.42665519212256,-0.128059809085854,-1.24024298994306,-0.637137600997389,-0.56352240881067,-0.90234156615499,-0.228315774548637,1.49546696022121,0.214137092786231,-0.648216144441937
24,8.813,8.813,47.57,47.57,2021-12-27,12:40:00,"AEB01","winter",0,0,0,7,1,0.281792058516198,22.1999999999999,NA,0.3,43.7063632930556,2.16651164,1890.24,NA,NA,NA,NA,NA,NA,NA,0.507935191293466,-1.38221237260191,-1.24024298994306,-0.637137600997389,-0.0324426863324512,-0.90234156615499,-0.235049395007057,NA,0.214137092786231,-0.648216144441937
12,8.542,8.544,47.486,47.479,2022-07-05,09:45:00,"AEG01_1","summer",5.719,6.432,0.713,8,5,0.428969652018047,2688.39999999999,6853.75901706612,0.8,10.1228452280093,4.4396641,14809.97,NA,NA,NA,NA,NA,NA,NA,265.577507059118,1.41735769404459,-0.278509127797843,-0.536822802549544,-0.493412724542898,3.33985137130876,0.220425324201322,0.830909552512396,0.441461513867216,0.875512714570929
12,8.541,8.544,47.483,47.48,2022-01-19,15:00:00,"AEG01_1","winter",3.908,3.532,-0.376,8,5,0.428969652018047,2688.39999999999,1300.38093204191,0.8,48.815751099537,4.4396641,14809.97,NA,NA,NA,NA,NA,NA,NA,55.0723883059434,0.530835331621647,-0.278509127797843,-0.536822802549544,0.0376891767982647,3.33985137130876,-0.141290127256979,-1.95573207339027,0.441461513867216,0.875512714570929
107,6.217,6.223,46.245,46.239,2022-07-22,12:05:00,"AEG01_1_B","summer",3.78536477112321,4.83920627142569,1.05384150030248,11,1,0.146088999447205,862,8195.91938969545,0.2,1.09901343611111,2.26082764,59365.5,NA,NA,NA,NA,NA,NA,NA,784.339819402218,0.470802823162161,-1.4325897623721,-0.72963146976751,-0.617274556941135,0.433864880804007,1.11182570971288,1.50439511494725,1.12343477711017,-0.648216144441937
107,6.217,6.223,46.245,46.239,2021-12-15,10:30:00,"AEG01_1_B","winter",2.539,4.808,2.269,11,1,0.146088999447205,862,1606.79327501172,0.2,37.8636295726852,2.26082764,59365.5,NA,NA,NA,NA,NA,NA,NA,22.765910445676,-0.139318789944897,-1.4325897623721,-0.72963146976751,-0.11264051376423,0.433864880804007,-0.196803039690982,-1.80197675968083,1.12343477711017,-0.648216144441937
13,8.56,8.551,47.467,47.474,2022-07-05,10:45:00,"AEG01_2","summer",1.958,2.214,0.256,5,7,0.190166882172296,1786.6,6106.80416110759,1.2,18.7407042074074,6.32498767,6123.32,NA,NA,NA,NA,NA,NA,NA,95.3325969092362,-0.423730436862474,0.49087796191833,-0.699588418944561,-0.375123307236137,1.90499667511013,-0.0721101490360181,0.456093456360518,-0.240511749375738,1.63737714407736
13,8.561,8.557,47.467,47.47,2022-01-19,16:30:00,"AEG01_2","winter",1.46,1.486,0.026,5,7,0.190166882172296,1786.6,726.044552276594,1.2,66.9101704905093,6.32498767,6123.32,NA,NA,NA,NA,NA,NA,NA,26.7014713443813,-0.667511848506111,0.49087796191833,-0.699588418944561,0.286054615520231,1.90499667511013,-0.190040481157258,-2.24392957023282,-0.240511749375738,1.63737714407736
108,6.204,6.201,46.209,46.207,2022-07-22,13:05:00,"AEG01_2_B","summer",4.41568332492177,4.2069013712442,-0.20878195367757,3,3,0.171732339010384,453,6197.72044914907,0.5,23.1835729722222,33.38434508,8850.69,NA,NA,NA,NA,NA,NA,NA,19.5396973772235,0.779356933262942,-0.855549445084973,-0.712153222035611,-0.314140137446898,-0.216895344018844,-0.202346710664248,0.501714537592526,-0.695160591537707,0.113648285064496
108,6.204,6.201,46.209,46.207,2021-12-16,11:00:00,"AEG01_2_B","winter",3.416,3.314,-0.102,3,3,0.171732339010384,453,953.171937258032,0.5,510.81139115463,33.38434508,8850.69,NA,NA,NA,NA,NA,NA,NA,0.886824389283971,0.2899910454195,-0.855549445084973,-0.712153222035611,6.37907805204272,-0.216895344018844,-0.23439834158795,-2.12995882743782,-0.695160591537707,0.113648285064496
140,6.85,6.873,46.829,46.824,2022-07-11,17:15:00,"AG01","summer",3.072,3.038,-0.0340000000000003,3,1,1.05922471969818,65.2,6813.29071346912,NA,3.73376270972222,1.33304586,2780.41,NA,NA,NA,NA,NA,NA,NA,17.4622773510025,0.121595853440763,NA,-0.107247154648552,-0.581109778999197,-0.83392423200491,-0.2059163859629,0.810602874737805,-0.695160591537707,-0.648216144441937
140,6.85,6.873,46.829,46.824,2022-04-14,10:55:00,"AG01","winter",2.978,4.177,1.199,3,1,1.05922471969818,65.2,5018.23846158199,NA,9.99784395,1.33304586,2780.41,NA,NA,NA,NA,NA,NA,NA,6.52140604775092,0.0755808881907588,NA,-0.107247154648552,-0.495128502020072,-0.83392423200491,-0.224716319314844,-0.090140285406168,-0.695160591537707,-0.648216144441937
56,7.92,7.924,47.241,47.243,2022-07-14,15:00:00,"AGWI01","summer",3.263,2.159,-1.104,7,2,1.17762614052873,690.299999999999,6078.63092625032,1.4,5.62581630601852,1.01054164,6647.85,NA,NA,NA,NA,NA,NA,NA,122.702193326418,0.215094346661515,0.875571506776417,-0.0265459121295557,-0.555139300954234,0.160672874441943,-0.0250803856606175,0.441956347777669,0.214137092786231,-0.267283929688721
