"site","p_sink","p_rope","p_source","med","lo","hi","class"
"2655600_1244700",0,0.9935,0.0065,0.165845497982528,-0.0214689077049837,0.375565589524112,"negligible"
"AA02_1",0,1,0,0.0604373347738488,-0.129278248120638,0.259806390751123,"negligible"
"AA02_3",0,0.9975,0.0025,0.116050921100738,-0.10319969778463,0.317936243824787,"negligible"
"AA03_1",0,0.996,0.004,0.12737373666898,-0.0880321757276586,0.324793201713763,"negligible"
"AA03_2",0,0.998,0.002,0.106230530000339,-0.114811183890138,0.309121191746265,"negligible"
"AA06",0,0.9995,5e-04,0.0816854748921631,-0.126400567303972,0.275143464968781,"negligible"
"AA07",0,0.9975,0.0025,0.13468159272321,-0.0583785517843122,0.330944954727405,"negligible"
"AB01",0,0.9965,0.0035,0.0860866488365229,-0.10419434072901,0.289502703440746,"negligible"
"ABB02",0,0.994,0.006,0.145746454956726,-0.0489651892976562,0.372709177900482,"negligible"
"AEB01",0,0.996,0.004,0.151705235441607,-0.050845195663166,0.342671581407979,"negligible"
"AEG01_1",0,1,0,-0.0316159746858767,-0.234947246052135,0.187913286301101,"negligible"
"AEG01_1_B",0,0.9945,0.0055,0.131125187573516,-0.0749461346164859,0.365591098929935,"negligible"
"AEG01_2",0,0.9985,0.0015,0.089075693475637,-0.114592247520099,0.290450712078802,"negligible"
"AEG01_2_B",0.0015,0.9985,0,-0.0459696522850944,-0.241176857521949,0.154854427923422,"negligible"
"AG01",0,0.998,0.002,0.0854948645492431,-0.103380191182974,0.309921411669645,"negligible"
"AGWI01",0,1,0,0.0391765041740267,-0.176201878826552,0.239093701630335,"negligible"
"AL01",0,0.9845,0.0155,0.182028121035605,-0.019130896464373,0.411720869151998,"negligible"
"AM01",0.0025,0.9975,0,-0.111700072612508,-0.328536191436005,0.135698830184513,"negligible"
"AP03",0,0.997,0.003,0.0637842423061971,-0.126992586346624,0.291640608975679,"negligible"
"AR03",0,1,0,0.00571580492864416,-0.182869928467283,0.209836788737935,"negligible"
"ATB10_2",5e-04,0.998,0.0015,0.0683275848741702,-0.139667030788225,0.274705682383189,"negligible"
"ATB10_3",0,1,0,0.0117491293416844,-0.202313525530681,0.200240424952186,"negligible"
"BBN01",0,0.9845,0.0155,0.168610211838199,-0.0350116711547251,0.401583537309451,"negligible"
"BBS02",0,0.9995,5e-04,0.0937700144455949,-0.100768243458336,0.281773642013236,"negligible"
"BF01",0,0.9945,0.0055,0.127243731512009,-0.0871568910021511,0.341460460691358,"negligible"
